City_ID,City,Country,AQI_Value,AQI_Category,CO_AQI_Value,CO_AQI_Category,Ozone_AQI_Value,Ozone_AQI_Category,NO2_AQI_Value,NO2_AQI_Category,PM2.5_AQI_Value,PM2.5_AQI_Category
4136,Bassano Del Grappa,Italy,62,Moderate,2,Good,38,Good,4,Good,62,Moderate
4137,Battaramulla,Sri Lanka,66,Moderate,0,Good,23,Good,0,Good,66,Moderate
4138,Bayonne,United States of America,107,Unhealthy for Sensitive Groups,3,Good,16,Good,26,Good,107,Unhealthy for Sensitive Groups
4139,Bazhovo,Russian Federation,34,Good,1,Good,34,Good,1,Good,21,Good
4140,Beaufort,Malaysia,63,Moderate,6,Good,36,Good,0,Good,63,Moderate
4141,Broomfield,United States of America,52,Moderate,1,Good,14,Good,11,Good,52,Moderate
4142,Bruntal,Czechia,96,Moderate,1,Good,36,Good,2,Good,96,Moderate
4143,Budingen,Germany,65,Moderate,1,Good,41,Good,2,Good,65,Moderate
4144,Buenlag,Philippines,58,Moderate,0,Good,23,Good,1,Good,58,Moderate
4145,Buftea,Romania,39,Good,1,Good,39,Good,2,Good,38,Good
4146,Bumbesti Jiu,Romania,38,Good,1,Good,38,Good,0,Good,19,Good
4147,Burnley,United Kingdom of Great Britain and Northern Ireland,62,Moderate,1,Good,14,Good,11,Good,62,Moderate
4148,Burstadt,Germany,57,Moderate,1,Good,43,Good,2,Good,57,Moderate
4149,Buzuluk,Russian Federation,56,Moderate,1,Good,37,Good,0,Good,56,Moderate
4150,Ca Mau,Viet Nam,50,Good,1,Good,33,Good,0,Good,50,Good
4151,Cabayangan,Philippines,30,Good,0,Good,15,Good,0,Good,30,Good
4152,Cabo Frio,Brazil,50,Good,1,Good,24,Good,2,Good,50,Good
4153,Cadiz,Philippines,54,Moderate,1,Good,23,Good,0,Good,54,Moderate
4154,Caieiras,Brazil,165,Unhealthy,6,Good,1,Good,19,Good,165,Unhealthy
4155,Cajabamba,Peru,27,Good,1,Good,4,Good,0,Good,27,Good
4156,Camaqua,Brazil,35,Good,1,Good,18,Good,1,Good,35,Good
4157,Camaragibe,Brazil,37,Good,0,Good,19,Good,1,Good,37,Good
4158,Camarillo,United States of America,51,Moderate,2,Good,29,Good,12,Good,51,Moderate
4159,Cambridge,United Kingdom of Great Britain and Northern Ireland,30,Good,1,Good,30,Good,3,Good,14,Good
4160,Campo Formoso,Brazil,16,Good,0,Good,13,Good,0,Good,16,Good
4161,Colomba,Guatemala,103,Unhealthy for Sensitive Groups,3,Good,6,Good,13,Good,103,Unhealthy for Sensitive Groups
4162,Conselheiro Pena,Brazil,48,Good,1,Good,4,Good,2,Good,48,Good
4163,Coquimbo,Chile,29,Good,0,Good,29,Good,0,Good,20,Good
4164,Costesti,Romania,39,Good,1,Good,39,Good,1,Good,20,Good
4165,Crailsheim,Germany,50,Good,1,Good,41,Good,3,Good,50,Good
4166,Crispiano,Italy,58,Moderate,1,Good,47,Good,2,Good,58,Moderate
4167,Cruzeiro Do Oeste,Brazil,50,Good,1,Good,14,Good,1,Good,50,Good
4168,Cua,Venezuela (Bolivarian Republic of),56,Moderate,1,Good,13,Good,9,Good,56,Moderate
4169,Dajabon,Dominican Republic,94,Moderate,3,Good,6,Good,11,Good,94,Moderate
4170,Teaneck,United States of America,53,Moderate,1,Good,40,Good,4,Good,53,Moderate
4171,Tegal,Indonesia,149,Unhealthy for Sensitive Groups,4,Good,25,Good,9,Good,149,Unhealthy for Sensitive Groups
4172,Tekanpur,India,168,Unhealthy,4,Good,45,Good,6,Good,168,Unhealthy
4173,Tekeli,Kazakhstan,51,Moderate,1,Good,18,Good,1,Good,51,Moderate
4174,Terra Boa,Brazil,30,Good,1,Good,16,Good,0,Good,30,Good
4175,Texcoco,Mexico,320,Hazardous,5,Good,26,Good,10,Good,320,Hazardous
4176,Thatta,Pakistan,117,Unhealthy for Sensitive Groups,1,Good,20,Good,2,Good,117,Unhealthy for Sensitive Groups
4177,Tibu,Colombia,68,Moderate,1,Good,32,Good,0,Good,68,Moderate
4178,Timbauba,Brazil,25,Good,0,Good,25,Good,0,Good,20,Good
4179,Tiquisate,Guatemala,86,Moderate,2,Good,38,Good,2,Good,86,Moderate
4180,Tiruchchirappalli,India,121,Unhealthy for Sensitive Groups,3,Good,26,Good,6,Good,121,Unhealthy for Sensitive Groups
